tier,qa_count,contract_name,company,filing_no,cum_qa_pct
Tier1 必采,6,TaiPing国内公路运输随车行李物品定额保险条款,TaiPing,,0.2623
Tier1 必采,5,onsale 2,其他,,0.267
Tier1 必采,5,中华财险退役军人团体家庭财产保险附加盗抢保险条款2020-01-19条款,中华财险,2020-01-19,0.2717
Tier1 必采,5,TaiPing“家无忧”家庭综合保障保险[2014]主2号-条款,TaiPing,,0.2764
Tier1 必采,5,《泰康健康有约团体终身重大疾病保险H款（2023版）》产品条款,泰康,,0.2811
Tier1 必采,5,《泰康e保有约住院医疗保险》（停用）产品条款,泰康,,0.2858
Tier1 必采,5,TaiPing太平财产保险有限公司个人住院医疗费用保险（互联网专属2021-E版）,太平,,0.2906
Tier1 必采,5,《泰康团体重疾补充医疗保险N款（2023版）》产品条款,泰康,,0.2953
Tier1 必采,5,安联安赢添福年金保险（分红型）条款,安联,,0.3
Tier2 扩展,5,安联附加超级随心（II）重大疾病保险条款,安联,,0.3047
Tier2 扩展,5,《泰康团体关爱心脏医疗保险》产品条款,泰康,,0.3094
Tier2 扩展,5,《泰康北京市医保补充团体医疗保险》产品条款,泰康,,0.3142
Tier2 扩展,5,《泰康团体住院补充医疗保险》产品条款,泰康,,0.3189
Tier2 扩展,5,《泰康北京市医保补充团体医疗保险》（停用）产品条款,泰康,,0.3236
Tier2 扩展,5,TaiPing太平财产保险有限公司河北省社保补充医疗保险（互联网专属）,太平,,0.3283
Tier2 扩展,5,《泰康幸福赢家年金保险（分红型）》（停用）产品条款,泰康,,0.333
Tier2 扩展,5,TaiPing太平财产保险有限公司社会活动公众责任保险（2023版）条款,太平,,0.3377
Tier2 扩展,5,安联安顺汇福（II）终身寿险（分红型）条款,安联,,0.3425
Tier2 扩展,5,《泰康尊享一生养老年金保险G款（万能型）》产品条款,泰康,,0.3472
Tier2 扩展,5,安联附加恶性肿瘤（重度）疾病保险条款,安联,,0.3519
Tier2 扩展,5,安联安赢未来教育金年金保险（分红型）条款,安联,,0.3566
Tier2 扩展,5,PICC人保寿险关爱百万（孝心版）医疗保险保险_产品条款,PICC,,0.3613
Tier2 扩展,5,PICC人保寿险关爱百万团体补充医疗保险_产品条款,PICC,,0.366
Tier2 扩展,5,TaiPing太平财产保险有限公司安心家庭财产保险（2021版）,太平,,0.3708
Tier2 扩展,5,TaiPing“家无忧”家庭综合保障保险-太平财险(备-家财)[2014]主2号-条款,太平,,0.3755
Tier2 扩展,5,安联臻爱一世（成人版）重大疾病保险条款,安联,,0.3802
Tier2 扩展,5,《泰康团体长期补充医疗保险A款（2023版）》产品条款,泰康,,0.3849
Tier2 扩展,5,onsale 1.鼎诚团体意外伤害保险条款,其他,,0.3896
Tier2 扩展,5,onsale 11.鼎诚团体综合医疗保险条款,其他,,0.3943
Tier2 扩展,5,onsale 2鼎诚畅行安心交通意外伤害保险（互联网）条款,其他,,0.3991
Tier2 扩展,5,onsale 7.鼎诚附加住院(20)费用补偿医疗保险条款,其他,,0.4038
Tier2 扩展,5,中华联合财产保险股份有限公司宠物医疗保险条款2021-12-07条款,其他,2021-12-07,0.4085
Tier2 扩展,5,中美联泰大都会人寿保险有限公司短期住院津贴医疗保险（2010版）-产品条款,中美联泰,,0.4132
Tier2 扩展,5,安联安康孝欣（2.0版）老年医疗保险,安联,,0.4179
Tier2 扩展,4,安联逸升丰赢终身年金保险（分红型）条款,安联,,0.4217
Tier2 扩展,4,TaiPing太平盛世家庭财产保险D款条款,太平,,0.4255
Tier2 扩展,4,《泰康尊享一生养老年金保险H款（万能型）》产品条款,泰康,,0.4292
Tier2 扩展,4,《泰康上海医保账户医疗保险》产品条款,泰康,,0.433
Tier2 扩展,4,TaiPing太平财产保险有限公司燃气意外伤害保险（互联网专属2022-A版）,太平,,0.4368
Tier2 扩展,4,《泰康团体补充医疗保险》条款产品条款,泰康,,0.4406
Tier2 扩展,4,PICC人保寿险健康相伴团体重大疾病保险（C款）_产品条款,PICC,,0.4443
Tier2 扩展,4,TaiPing太平财产保险有限公司个人重大疾病医疗费用保险（互联网专属）,太平,,0.4481
Tier2 扩展,4,安联团体（2023）意外伤害保险条款,安联,,0.4519
Tier2 扩展,4,安联安行无忧团体境外旅行意外伤害保险条款,安联,,0.4557
Tier2 扩展,4,中华联合财产保险股份有限公司水利工程运营期机器设备损坏保险（2023版）2023-12-25条款,其他,2023-12-25,0.4594
Tier2 扩展,4,《泰康医养宝社保补充团体医疗保险A款》（停用）产品条款,泰康,,0.4632
Tier2 扩展,4,《泰康好牙一生齿科长期医疗保险》产品条款,泰康,,0.467
Tier2 扩展,4,《泰康团体特定疾病医疗保险》产品条款,泰康,,0.4708
Tier2 扩展,4,安联安顺畅游（龙行版）互联网意外伤害保险条款,安联,,0.4745
Tier2 扩展,4,《泰康团体医疗保险》产品条款,泰康,,0.4783
Tier2 扩展,4,stopsale 2,其他,,0.4821
Tier2 扩展,4,TaiPing个人住院医疗费用保险（互联网专属2021-D版）,TaiPing,,0.4858
Tier2 扩展,4,《泰康团体长期补充医疗保险B款（2023版）》产品条款,泰康,,0.4896
Tier2 扩展,4,《泰康医养宝社保补充团体医疗保险A款》产品条款,泰康,,0.4934
Tier2 扩展,4,《泰康健康有约终身重大疾病保险J1款》产品条款,泰康,,0.4972
Tier2 扩展,4,《泰康e保有约住院医疗保险B款》产品条款,泰康,,0.5009
Tier2 扩展,4,中华财险退役军人团体家庭财产保险附加管道破裂及水渍保险2020-01-19条款,中华财险,2020-01-19,0.5047
Tier2 扩展,4,安联安享福瑞年金保险（分红型）条款,安联,,0.5085
Tier2 扩展,4,PICC人保寿险团体长期补充医疗保险（B款）_产品条款,PICC,,0.5123
Tier2 扩展,4,TaiPing全国职业院校学生实习责任保险统保示范项目校方责任保险,TaiPing,,0.516
Tier2 扩展,4,《泰康成长相伴年金保险（分红型）》产品条款,泰康,,0.5198
Tier2 扩展,4,安联安盈添利终身寿险（万能型）条款,安联,,0.5236
Tier2 扩展,4,《泰康上海医保账户意外伤害医疗保险（2019）》（停用）产品条款,泰康,,0.5274
Tier2 扩展,4,安联附加特种药品费用互联网医疗保险条款,安联,,0.5311
Tier2 扩展,4,PICC人保寿险团体重大疾病补充医疗保险（E款）条款_产品条款,PICC,,0.5349
Tier2 扩展,4,《泰康D款团体重大疾病保险》条款产品条款,泰康,,0.5387
Tier2 扩展,3,stopsale 2-1,其他,,0.5415
Tier2 扩展,3,TaiPing公共交通工具乘客意外伤害保险（互联网专属）条款,TaiPing,,0.5443
Tier2 扩展,3,公路货物运输定期定额保险条款（适用于广西壮族自治区）2020-01-18条款,其他,2020-01-18,0.5472
Tier2 扩展,3,《泰康团体住院补充医疗保险》条款产品条款,泰康,,0.55
Tier2 扩展,3,TaiPing太平财产保险有限公司少儿重大疾病保险（互联网专属）条款,太平,,0.5528
Tier2 扩展,3,《泰康B款团体定期寿险》条款产品条款,泰康,,0.5557
Tier2 扩展,3,TaiPing住院医疗费用保险（互联网专属2021-P版）条款,TaiPing,,0.5585
Tier2 扩展,3,安联逸升尊享（III）年金保险（分红型）条款,安联,,0.5613
Tier2 扩展,3,《泰康人生赢家年金保险B款（分红型）》产品条款,泰康,,0.5642
Tier2 扩展,3,农业机械综合保险（适用于江苏省）-（苏）地（中华联合）（备-企财）[2016]（主）4号2022-09-29条款,其他,2022-09-29,0.567
Tier2 扩展,3,《泰康团体医护职业暴露津贴医疗保险》产品条款,泰康,,0.5698
Tier2 扩展,3,《泰康健康关爱团体护理保险》条款产品条款,泰康,,0.5726
Tier2 扩展,3,安联盛世百年（B款）两全保险（分红型）条款,安联,,0.5755
Tier2 扩展,3,安联盛世百年（A款）两全保险（分红型）条款,安联,,0.5783
Tier2 扩展,3,安联安裕丰财（VI）两全保险（分红型）条款,安联,,0.5811
Tier2 扩展,3,安联附加团体（2009）意外伤害医疗保险条款,安联,,0.584
Tier2 扩展,3,《泰康境外旅行团体意外伤害保险》泰康养发[2022]130号产品条款,泰康,[2022]130号,0.5868
Tier2 扩展,3,TaiPing太平财产保险有限公司境外旅行意外伤害保险（互联网专属）,太平,,0.5896
Tier2 扩展,3,TaiPing太平财产保险有限公司四川省惠民团体医疗保险（互联网专属）条款,太平,,0.5925
Tier2 扩展,3,《泰康团体养老年金保险（万能型）》产品条款,泰康,,0.5953
Tier2 扩展,3,TaiPing“家无忧”家庭综合保障保险条款,TaiPing,,0.5981
Tier3 长尾,3,安联逸升嘉年年金保险（分红型）条款,安联,,0.6009
Tier3 长尾,3,《泰康健康有约团体终身重大疾病保险F款（2023版）》产品条款,泰康,,0.6038
Tier3 长尾,3,中华联合财产保险股份有限公司山西省城乡居民住房巨灾保险2023-07-14条款,其他,2023-07-14,0.6066
Tier3 长尾,3,中华财险火箭发射前财产保险2021-01-29条款,中华财险,2021-01-29,0.6094
Tier3 长尾,3,《泰康出国务工人员团体意外伤害保险》泰康养发[2022]130号产品条款,泰康,[2022]130号,0.6123
Tier3 长尾,3,TaiPing太平财产保险有限公司航班延误保险B款,太平,,0.6151
Tier3 长尾,3,《泰康惠选长安长期意外伤害保险B款》产品条款,泰康,,0.6179
Tier3 长尾,3,安联安享至尊养老年金保险（分红型）条款,安联,,0.6208
Tier3 长尾,3,中华联合财产保险股份有限公司城乡居民财产损失保险(社会综合治理专用)条款2022-04-15条款,其他,2022-04-15,0.6236
Tier3 长尾,3,安联附加超级随心养老年金保险（分红型）条款,安联,,0.6264
Tier3 长尾,3,安联安盈恒利两全保险（万能型）条款,安联,,0.6292
Tier3 长尾,3,PICC人保寿险团体长期重大疾病保险（G款）产品条款,PICC,,0.6321
Tier3 长尾,3,TaiPing太平财产保险有限公司境内旅游意外伤害保险（互联网专属）,太平,,0.6349
Tier3 长尾,3,中华联合财产保险股份有限公司治安装备损失保险（社会综合治理专用）条款2021-08-06条款,其他,2021-08-06,0.6377
Tier3 长尾,3,PICC人保寿险i无忧青春版重大疾病保险（互联网专属）_产品说明书,PICC,,0.6406
Tier3 长尾,3,安联至臻互联网医疗保险条款,安联,,0.6434
Tier3 长尾,3,TaiPing太平财产保险有限公司个人住院医疗费用保险（互联网专属2021-D版）条款,太平,,0.6462
Tier3 长尾,3,TaiPing太平财产保险有限公司家庭财产损失保险（2022版）,太平,,0.6491
Tier3 长尾,3,PICC人保寿险关爱百万医疗保险_产品条款,PICC,,0.6519
Tier3 长尾,3,TaiPing个人人身意外伤害保险（互联网专属2022版）,TaiPing,,0.6547
Tier3 长尾,3,PICC人保寿险关爱女性特定疾病保险_产品条款,PICC,,0.6575
Tier3 长尾,3,中美联泰大都会人寿保险有限公司附加团体意外伤害医疗保险（C款）-产品条款,中美联泰,,0.6604
Tier3 长尾,3,TaiPing太平财产保险有限公司学生人身意外伤害保险（互联网专属）条款,太平,,0.6632
Tier3 长尾,3,TaiPing太平财产保险有限公司国内水路、陆路货物运输保险条款,太平,,0.666
Tier3 长尾,3,安联安康至臻（II）全球团体医疗保险条款,安联,,0.6689
Tier3 长尾,3,《泰康团体重疾补充医疗保险F款（2023版）》产品条款,泰康,,0.6717
Tier3 长尾,3,安联安心守护少儿惠选医疗保险条款,安联,,0.6745
Tier3 长尾,3,《泰康尊享守护意外伤害医疗保险》产品条款,泰康,,0.6774
Tier3 长尾,3,安联安享丰财年金保险（分红型）条款,安联,,0.6802
Tier3 长尾,3,TaiPing太平财产保险有限公司交通出行意外伤害保险（互联网专属）,太平,,0.683
Tier3 长尾,3,《泰康心安无忧意外伤害保险B款》产品条款,泰康,,0.6858
Tier3 长尾,3,PICC人保寿险如意保两全保险（分红型）_产品条款,PICC,,0.6887
Tier3 长尾,3,《泰康境外旅行团体意外伤害保险》泰康养发[2022]106号产品条款,泰康,[2022]106号,0.6915
Tier3 长尾,3,《泰康e保有约住院医疗保险》（停用)产品条款,泰康,,0.6943
Tier3 长尾,3,《泰康汇享有约养老年金保险（分红型）》（停用）产品条款,泰康,,0.6972
Tier3 长尾,3,安联安赢添富年金保险（分红型）条款,安联,,0.7
Tier3 长尾,3,PICC人保寿险关爱百万2019医疗保险_产品条款,PICC,,0.7028
Tier3 长尾,3,《泰康医养宝社保补充团体医疗保险B款》产品条款,泰康,,0.7057
Tier3 长尾,3,TaiPing“家无忧”家庭综合保障保险,TaiPing,,0.7085
Tier3 长尾,3,《泰康关爱肝疾病保险B款》产品条款,泰康,,0.7113
Tier3 长尾,3,《泰康为i保医疗保险》（停用）产品条款,泰康,,0.7142
Tier3 长尾,3,TaiPing太平财产保险有限公司安全生产责任保险（2022版）,太平,,0.717
Tier3 长尾,2,安联寰球臻享（2021）境外医疗保险条款,安联,,0.7189
Tier3 长尾,2,中华财险商业燃气用户财产保险（2020版）2021-01-29条款,中华财险,2021-01-29,0.7208
Tier3 长尾,2,PICC人保寿险关爱少儿特定疾病保险_产品条款,PICC,,0.7226
Tier3 长尾,2,中华财险卫星发射前财产保险2021-01-29条款,中华财险,2021-01-29,0.7245
Tier3 长尾,2,《泰康团体意外伤害保险》泰康养发[2022]130号产品条款,泰康,[2022]130号,0.7264
Tier3 长尾,2,PICC人保寿险团体长期重大疾病保险（G款）_产品条款,PICC,,0.7283
Tier3 长尾,2,中美联泰大都会人寿保险有限公司意外伤害医疗保险-产品条款,中美联泰,,0.7302
Tier3 长尾,2,TaiPing太平财产保险有限公司关爱女性重大疾病保险（互联网专属）,太平,,0.7321
Tier3 长尾,2,安联附加安裕吉祥年金保险（分红型）条款,安联,,0.734
Tier3 长尾,2,中华联合财产保险股份有限公司个人贷款抵押房屋保险（2020版）2021-04-28条款,其他,2021-04-28,0.7358
Tier3 长尾,2,onsale 鼎诚团体定期寿险条款,其他,,0.7377
Tier3 长尾,2,安联安赢添彩年金保险（分红型）条款,安联,,0.7396
Tier3 长尾,2,安联超级随心年金保险（投资连结型）条款,安联,,0.7415
Tier3 长尾,2,《泰康幸福赢家年金保险（分红型）》产品条款,泰康,,0.7434
Tier3 长尾,2,《泰康出国务工人员团体意外伤害保险》泰康养发[2022]106号产品条款,泰康,[2022]106号,0.7453
Tier3 长尾,2,TaiPing公共交通工具乘客意外伤害保险（互联网专属2021-A款）,TaiPing,,0.7472
Tier3 长尾,2,《泰康心安无忧特定传染病疾病保险A款》产品条款,泰康,,0.7491
Tier3 长尾,2,《泰康健康关爱团体护理保险B款》产品条款,泰康,,0.7509
Tier3 长尾,2,《泰康e保有约住院医疗保险B款》（停用）产品条款,泰康,,0.7528
Tier3 长尾,2,中美联泰大都会人寿保险有限公司水陆公共交通（C款）意外伤害保险（互联网专属）-产品条款,中美联泰,,0.7547
Tier3 长尾,2,《泰康医护卫士特定意外伤害保险》产品条款,泰康,,0.7566
Tier3 长尾,2,中美联泰大都会人寿保险有限公司都会畅行意外伤害保险-产品条款,中美联泰,,0.7585
Tier3 长尾,2,中华财险卫星在轨寿命财产保险2021-01-29条款,中华财险,2021-01-29,0.7604
Tier3 长尾,2,中华财险起重机械财产保险附加自燃损失保险2022-09-29条款,中华财险,2022-09-29,0.7623
Tier3 长尾,2,中华财险退役军人团体家庭财产保险附加现金、首饰盗抢保险条款2020-01-19条款,中华财险,2020-01-19,0.7642
Tier3 长尾,2,TaiPing个人住院医疗费用保险（互联网专属2021-E版）,TaiPing,,0.766
Tier3 长尾,2,《泰康团体重大疾病保险H款》产品条款,泰康,,0.7679
Tier3 长尾,2,TaiPing太平财产保险有限公司恶性肿瘤住院医疗费用保险（互联网专属2021-A版）,太平,,0.7698
Tier3 长尾,2,中华财险退役军人团体家庭财产保险附加地震保险条款2020-01-19条款,中华财险,2020-01-19,0.7717
Tier3 长尾,2,中华联合财产保险股份有限公司民用燃气财产保险（2022版）条款2022-08-03条款,其他,2022-08-03,0.7736
Tier3 长尾,2,中华联合财产保险股份有限公司高标准农田设施灾毁保险（2021版）条款2022-08-03条款,其他,2022-08-03,0.7755
Tier3 长尾,2,安联境外旅行（畅游版）互联网意外伤害保险条款,安联,,0.7774
Tier3 长尾,2,《泰康团体医疗保险B款》产品条款,泰康,,0.7792
Tier3 长尾,2,《泰康汇享有约(G)团体养老年金保险（分红型）》产品条款,泰康,,0.7811
Tier3 长尾,2,中华财险家庭用电安全财产保险（2020版）2021-01-29条款,中华财险,2021-01-29,0.783
Tier3 长尾,2,PICC人保寿险品质金账户养老年金保险（万能型）（荣耀版）_产品条款,PICC,,0.7849
Tier3 长尾,2,PICC人保寿险境外紧急救援团体医疗保险_产品条款,PICC,,0.7868
Tier3 长尾,2,TaiPing个人医疗费用保险（互联网专属2021-A版）条款,TaiPing,,0.7887
Tier3 长尾,2,中华联合财产保险股份有限公司附加出行行李和随身物品损失保险2023-10-16条款,其他,2023-10-16,0.7906
Tier3 长尾,2,中美联泰大都会人寿保险有限公司团体优享高端医疗保险-产品条款,中美联泰,,0.7925
Tier3 长尾,2,安联悦动锦鲤两全保险条款,安联,,0.7943
Tier3 长尾,2,中华联合财产保险股份有限公司山东省治安综合保险（2021版）条款2022-08-03条款,其他,2022-08-03,0.7962
Tier3 长尾,2,安联安裕如意（III）年金保险（分红型）条款,安联,,0.7981
Tier3 长尾,2,《泰康心安无忧意外住院津贴医疗保险》（停用）产品条款,泰康,,0.8
Tier4 可缓,2,安联逸升汇赢（2018）终身年金保险（分红型）条款,安联,,0.8019
Tier4 可缓,2,中美联泰大都会人寿保险有限公司都会恒盈年金保险（分红型）-产品说明书,中美联泰,,0.8038
Tier4 可缓,2,PICC人保寿险团体定期寿险_产品条款,PICC,,0.8057
Tier4 可缓,2,onsale 1,其他,,0.8075
Tier4 可缓,2,PICC人保寿险团体女性特定疾病保险_产品条款,PICC,,0.8094
Tier4 可缓,2,《泰康世纪泰康住院团体医疗保险》条款产品条款,泰康,,0.8113
Tier4 可缓,2,《泰康境内旅行团体意外伤害保险》泰康养发[2022]106号产品条款,泰康,[2022]106号,0.8132
Tier4 可缓,2,TaiPing个人住院医疗费用保险（互联网专属2021-E版）条款,TaiPing,,0.8151
Tier4 可缓,2,onsale,其他,,0.817
Tier4 可缓,2,安联附加豁免保险费（III）疾病保险条款,安联,,0.8189
Tier4 可缓,2,《泰康境内旅行团体意外伤害保险》泰康养发[2022]130号产品条款,泰康,[2022]130号,0.8208
Tier4 可缓,2,PICC人保寿险关爱康健医疗保险_产品条款,PICC,,0.8226
Tier4 可缓,2,PICC人保寿险一带一路团体意外伤害保险_产品条款,PICC,,0.8245
Tier4 可缓,2,TaiPing太平财产保险有限公司个人住院医疗费用保险（互联网专属2021-A版）条款,太平,,0.8264
Tier4 可缓,2,PICC人保寿险农村小额团体意外伤害保险（B款）_产品条款,PICC,,0.8283
Tier4 可缓,2,《泰康团体长期补充医疗保险C款（2023版）》产品条款,泰康,,0.8302
Tier4 可缓,2,中美联泰大都会人寿保险有限公司都会尊悦（优享版）年金保险（分红型）-产品条款,中美联泰,,0.8321
Tier4 可缓,2,中华财险民用燃气财产保险2021-01-29条款,中华财险,2021-01-29,0.834
Tier4 可缓,2,安联安裕悠然年金保险（分红型）条款,安联,,0.8358
Tier4 可缓,2,TaiPing太平财产保险有限公司恶性肿瘤住院医疗费用保险（互联网专属2021-B版）条款,太平,,0.8377
Tier4 可缓,2,《泰康宁波医保账户指定重大疾病保险B款》（停用)产品条款,泰康,,0.8396
Tier4 可缓,2,中美联泰大都会人寿保险有限公司都会爱护医疗保险-产品条款,中美联泰,,0.8415
Tier4 可缓,2,TaiPing个人住院医疗费用保险（互联网专属2021-A版）条款,TaiPing,,0.8434
Tier4 可缓,2,《泰康健康有约团体终身重大疾病保险D款（2024版）》产品条款,泰康,,0.8453
Tier4 可缓,2,PICC人保寿险关爱百万（特需版）医疗保险_产品条款,PICC,,0.8472
Tier4 可缓,2,中美联泰大都会人寿保险有限公司都会颐享两全保险（分红型）-产品条款,中美联泰,,0.8491
Tier4 可缓,2,TaiPing全国职业院校学生实习责任保险统保示范项目职业院校学生实习责任保险,TaiPing,,0.8509
Tier4 可缓,2,TaiPing公众责任保险（2019版）,TaiPing,,0.8528
Tier4 可缓,2,TaiPing住院医疗费用保险（互联网专属2021-N版）条款,TaiPing,,0.8547
Tier4 可缓,2,《泰康团体医疗保险A款》产品条款,泰康,,0.8566
Tier4 可缓,2,安联附加安康和顺（II）团体医疗保险条款,安联,,0.8585
Tier4 可缓,2,充电桩综合保险条款2020-01-18条款,其他,2020-01-18,0.8604
Tier4 可缓,2,TaiPing太平财产保险有限公司个人住院医疗费用保险（互联网专属2022版）,太平,,0.8623
Tier4 可缓,2,中美联泰大都会人寿保险有限公司健康随心Ⅲ两全保险-产品条款,中美联泰,,0.8642
Tier4 可缓,2,《泰康岁月有约养老年金保险（分红型）》产品条款,泰康,,0.866
Tier4 可缓,2,TaiPing太平财产保险有限公司公路货运承运人责任保险条款,太平,,0.8679
Tier4 可缓,2,中美联泰大都会人寿保险有限公司都会臻承（优享版）终身寿险-产品条款,中美联泰,,0.8698
Tier4 可缓,2,中美联泰大都会人寿保险有限公司附加健康随心Ⅲ提前给付疾病保险-产品条款,中美联泰,,0.8717
Tier4 可缓,2,安联附加安顺年年定期寿险条款,安联,,0.8736
Tier4 可缓,2,中美联泰大都会人寿保险有限公司都会臻鑫（优享版）年金保险-产品条款,中美联泰,,0.8755
Tier4 可缓,2,PICC人保寿险乡村振兴亲民保两全保险_产品条款,PICC,,0.8774
Tier4 可缓,2,PICC人保寿险兴福人生年金保险（分红型）_产品条款,PICC,,0.8792
Tier4 可缓,2,《泰康建筑工程人员团体意外伤害保险》产品条款,泰康,,0.8811
Tier4 可缓,2,中华财险湖南省安监重点行业（领域）安全生产责任保险附加企业自有资产财产保险2022-09-29条款,中华财险,2022-09-29,0.883
Tier4 可缓,1,中美联泰大都会人寿保险有限公司法定节假日意外伤害保险（互联网专属）-产品条款,中美联泰,,0.884
Tier4 可缓,1,《泰康意外伤害团体医疗保险》产品条款,泰康,,0.8849
Tier4 可缓,1,TaiPing个人银行账户资金安全保险（2022款）,TaiPing,,0.8858
Tier4 可缓,1,中美联泰大都会人寿保险有限公司都会至臻（优享版）终身寿险（分红型）-产品条款,中美联泰,,0.8868
Tier4 可缓,1,《泰康健康有约团体终身重大疾病保险D款（2023版）》产品条款,泰康,,0.8877
Tier4 可缓,1,中华财险工程机械设备保险（2015版）附加新增加设备损失保险2022-09-29条款,中华财险,2022-09-29,0.8887
Tier4 可缓,1,TaiPing个人账户盗刷损失保险条款,TaiPing,,0.8896
Tier4 可缓,1,TaiPing住院医疗费用保险（互联网专属2021-Y版),TaiPing,,0.8906
Tier4 可缓,1,《泰康境外旅行救援B款医疗保险》（停用）产品条款,泰康,,0.8915
Tier4 可缓,1,中美联泰大都会人寿保险有限公司都会安鑫年金保险（万能型）-产品条款,中美联泰,,0.8925
Tier4 可缓,1,中美联泰大都会人寿保险有限公司健康随心Ⅲ两全保险-产品说明书,中美联泰,,0.8934
Tier4 可缓,1,中美联泰大都会人寿保险有限公司都会臻传（优享版）终身寿险（分红型）-产品说明书,中美联泰,,0.8943
Tier4 可缓,1,中美联泰大都会人寿保险有限公司倍佑一生（优享版）重大疾病保险-产品条款,中美联泰,,0.8953
Tier4 可缓,1,中美联泰大都会人寿保险有限公司附加健康随心Ⅲ提前给付疾病保险-产品说明书,中美联泰,,0.8962
Tier4 可缓,1,TaiPing医务人员住院医疗费用保险（互联网专属）条款,TaiPing,,0.8972
Tier4 可缓,1,TaiPing太平财产保险有限公司个人住院医疗费用保险（互联网专属2021-E版）条款,太平,,0.8981
Tier4 可缓,1,TaiPing太平财产保险有限公司手术意外伤害保险（互联网专属）条款,太平,,0.8991
Tier4 可缓,1,中华联合财产保险股份有限公司财产一切险附加利于被保险人解释条款2022-11-29条款,其他,2022-11-29,0.9
Tier4 可缓,1,PICC人保寿险关爱男性特定疾病保险_产品条款,PICC,,0.9009
Tier4 可缓,1,中美联泰大都会人寿保险有限公司恶性肿瘤（重度）短期疾病保险（互联网专属）-产品条款,中美联泰,,0.9019
Tier4 可缓,1,中美联泰大都会人寿保险有限公司短期（I款）意外伤害保险-产品条款,中美联泰,,0.9028
Tier4 可缓,1,中美联泰大都会人寿保险有限公司水陆公共交通（B款）意外伤害保险-产品条款,中美联泰,,0.9038
Tier4 可缓,1,中美联泰大都会人寿保险有限公司烟花爆竹意外伤害保险（互联网专属）-产品条款,中美联泰,,0.9047
Tier4 可缓,1,TaiPing借款人重大疾病保险（互联网专属）条款,TaiPing,,0.9057
Tier4 可缓,1,《泰康团体岁月有约养老年金保险（分红型）》产品条款,泰康,,0.9066
